date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2000-01-03,0.0001243520243604,1.9837749146605076e-08,4.400050485343873e-05,8.035151950696127e-05,-3.635101465352254e-05,0.000140846544674,11083.0,1.5463425962529517e-08
2000-01-04,0.000210915204499,2.569004903470011e-08,4.994517137820001e-05,0.0001609700331208,-0.00011102486174259998,0.0001602811562059,11113.0,4.448522348885499e-08
2000-01-05,0.0002107976418467,5.927691615615524e-08,0.00012863753784812833,8.216010399857168e-05,4.647743384955666e-05,0.0002434685116317,11096.0,4.443564580812961e-08
2000-01-06,0.0001140901677059,9.721579526496077e-09,7.127015522585416e-05,4.2820012480045846e-05,2.845014274580831e-05,9.85980706022997e-05,10982.0,1.3016566367160388e-08
2000-01-07,0.0001215110648678,7.3128917570165845e-09,8.973347622195604e-05,3.177758864584395e-05,5.795588757611209e-05,8.551544747597702e-05,11016.0,1.4764938885306699e-08
2000-01-10,7.225855822795942e-05,3.5898127053706104e-09,4.4853153714379555e-05,2.7405404513579865e-05,1.744774920079969e-05,5.991504573452824e-05,10850.0,5.221299237183402e-09
2000-01-11,6.781841431586872e-05,4.470592074507064e-09,2.477545714882016e-05,4.3042957167048555e-05,-1.8267500018228394e-05,6.686248630216397e-05,11205.0,4.599337320318827e-09
2000-01-12,0.0001007659169075,1.1432900208341698e-08,5.237406127785679e-05,4.839185562964321e-05,3.982205648213577e-06,0.0001069247408617,11293.0,1.0153770010209194e-08
2000-01-13,6.693150810984638e-05,3.740287245504558e-09,3.525221497913926e-05,3.167929313070712e-05,3.5729218484321424e-06,6.11578878437161e-05,11027.0,4.479826777858432e-09
2000-01-14,8.474147264153743e-05,6.766839585849888e-09,5.0457400080477396e-05,3.428407256106004e-05,1.6173327519417358e-05,8.226080224414231e-05,11386.0,7.181117185456437e-09
2000-01-18,0.00011732865975,1.4100081477369551e-08,3.11142662312358e-05,8.62143935187642e-05,-5.51001272875284e-05,0.0001187437639515,11193.0,1.376601439873127e-08
2000-01-19,6.292668283609434e-05,3.714332987949515e-09,2.4464850882761685e-05,3.846183195333265e-05,-1.3996981070570966e-05,6.094532785989025e-05,10915.0,3.959767412754409e-09
2000-01-20,0.0001598440693055,1.2083750864632223e-08,7.930136277837218e-05,8.054270652712782e-05,-1.24134374875564e-06,0.0001099261154805,11051.0,2.555012649214149e-08
2000-01-21,7.307655286834276e-05,5.303845214911137e-09,2.7184850404312998e-05,4.589170246402976e-05,-1.8706852059716762e-05,7.282750314895559e-05,10713.0,5.3401825791196945e-09
