date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2000-01-03,7.210934046482914e-05,8.62942160522478e-09,1.5309035219648987e-05,5.680030524518015e-05,-4.1491270025531164e-05,9.289468017720272e-05,1527.0,5.199756982272645e-09
2000-01-04,5.313205532341442e-05,3.854793295825349e-09,8.884685469846071e-06,4.424736985356835e-05,-3.536268438372228e-05,6.208698169363163e-05,1527.0,2.8230153028903707e-09
2000-01-05,5.972825439024315e-05,4.959998845386895e-09,4.5292446788906266e-05,1.4435807601336886e-05,3.085663918756938e-05,7.042725924943334e-05,1523.0,3.5674643725056002e-09
2000-01-06,4.496815764132387e-05,9.32285286198708e-10,1.9218002224742303e-05,2.5750155416581567e-05,-6.532153191839264e-06,3.053334711751576e-05,1195.0,2.0221352016549542e-09
2000-01-07,1.6802239818612752e-05,3.51756535332724e-10,1.3697536324007264e-05,3.104703494605489e-06,1.0592832829401774e-05,1.87551735617862e-05,1534.0,2.823152629221759e-10
2000-01-10,0.0001441946251431,1.5065307297586214e-08,7.359416346882103e-05,7.060046167427896e-05,2.9937017945420657e-06,0.0001227408134957,1481.0,2.0792089920159122e-08
2000-01-11,2.7906862045603425e-05,9.781790072772767e-10,3.3136666079284877e-06,2.4593195437674938e-05,-2.127952882974645e-05,3.1275853422045524e-05,1450.0,7.78792949232341e-10
2000-01-12,2.19517314919855e-05,4.484379554223815e-10,1.3145713416788327e-05,8.806018075197174e-06,4.339695341591154e-06,2.1176353685712315e-05,1523.0,4.81878515496228e-10
2000-01-13,1.5676083390729547e-05,2.483992002972217e-10,1.4058344235230693e-05,1.6177391554988535e-06,1.244060507973184e-05,1.576068527371896e-05,1538.0,2.457395904731068e-10
2000-01-14,9.849685117522635e-06,9.632685038906963e-11,4.8593119597369314e-06,4.990373157785704e-06,-1.3106119804877254e-07,9.814624312171589e-06,1540.0,9.701629691434689e-11
2000-01-18,1.1056877948363796e-05,1.4247202659597546e-10,9.030199524989755e-06,2.026678423374041e-06,7.003521101615714e-06,1.1936164651845896e-05,1534.0,1.222545499650136e-10
2000-01-19,1.350557819422858e-05,1.310301899033393e-10,1.1025113147258443e-05,2.480465046970137e-06,8.544648100288305e-06,1.1446841918334476e-05,1531.0,1.824006423604225e-10
2000-01-20,2.7533462722232295e-05,7.793091133138267e-10,1.3710260104814834e-05,1.382320261741746e-05,-1.1294251260262695e-07,2.7916108491582897e-05,1540.0,7.580915694765554e-10
2000-01-21,2.174026175896665e-05,4.800263725163164e-10,1.6762845236504177e-05,4.977416522462473e-06,1.1785428714041704e-05,2.190950415952667e-05,1538.0,4.726389813483877e-10
2000-01-24,7.28645552164429e-05,6.700054475048572e-09,5.825895691146109e-06,6.703865952529679e-05,-6.121276383415068e-05,8.185386047736889e-05,1529.0,5.309243406890057e-09
2000-01-25,5.805623577167777e-05,3.9248611770069465e-09,2.8574789013825088e-05,2.948144675785268e-05,-9.066577440275931e-07,6.264871249281143e-05,1526.0,3.3705265119766373e-09
2000-01-26,2.317505629491105e-05,2.9989713215951557e-10,4.892139112081836e-06,1.8282917182829213e-05,-1.3390778070747377e-05,1.7317538282317022e-05,1539.0,5.370832342722962e-10
2000-01-27,5.164221953363933e-05,2.881415401276298e-09,1.381207224253999e-05,3.783014729109934e-05,-2.4018075048559353e-05,5.3678817062937385e-05,1511.0,2.6669188383606e-09
2000-01-28,5.8131685336195424e-05,3.0495445282719973e-09,1.1161539309995849e-05,4.6970146026199575e-05,-3.5808606716203726e-05,5.5222681284704e-05,1539.0,3.379292840026438e-09
2000-01-31,7.33577079899566e-05,6.75304866143196e-09,2.579474011858345e-05,4.756296787137315e-05,-2.1768227752789703e-05,8.217693509392985e-05,1530.0,5.381353321539742e-09
2000-02-01,2.437185706454507e-05,7.097699702994071e-10,2.0870250702867407e-05,3.5016063616776655e-06,1.736864434118974e-05,2.664150840886092e-05,1536.0,5.939874167746155e-10
2000-02-02,3.531767202684813e-05,1.2208625283508072e-09,1.4708884168111182e-05,2.060878785873695e-05,-5.899903690625768e-06,3.49408432690284e-05,1549.0,1.247337957396011e-09
2000-02-03,2.877849059577894e-05,1.1080179554673967e-09,1.8594257806537395e-05,1.0184232789241548e-05,8.410025017295844e-06,3.328690366296326e-05,1540.0,8.282015209713369e-10
2000-02-04,1.710525015317753e-05,3.458465302449193e-10,9.351085630831934e-06,7.754164522345595e-06,1.596921108486339e-06,1.8596949487615416e-05,1530.0,2.925895828027799e-10
2000-02-07,1.8808092089183396e-05,3.232412612357821e-10,1.3647658982599537e-05,5.16043310658386e-06,8.487225876015676e-06,1.797891156983042e-05,1536.0,3.53744328035203e-10
2000-02-08,1.272402251922733e-05,1.5760728691572614e-10,6.634665270122791e-06,6.089357249104539e-06,5.453080210182517e-07,1.2554174083376658e-05,1528.0,1.619007490698042e-10
2000-02-09,2.7358130967327767e-05,1.0611241344115593e-09,8.623086748685643e-06,1.8735044218642124e-05,-1.0111957469956481e-05,3.257490037454542e-05,1535.0,7.484673300254585e-10
2000-02-10,2.2672346203926227e-05,6.912324242675209e-10,1.4320684588504344e-05,8.351661615421883e-06,5.969022973082461e-06,2.629129940241678e-05,1539.0,5.14035282390688e-10
2000-02-11,2.6033586504199665e-05,6.635574920521798e-10,9.804300563633853e-06,1.622928594056581e-05,-6.424985376931958e-06,2.5759609703025e-05,1441.0,6.777476262716469e-10
2000-02-14,2.494115203560407e-05,6.681003186865275e-10,1.978102001506863e-05,5.160132020535444e-06,1.4620887994533183e-05,2.5847636617039624e-05,1539.0,6.220610648631171e-10
2000-02-15,2.3371746085683933e-05,6.612501418711949e-10,1.1734889205306224e-05,1.1636856880377709e-05,9.80323249285155e-08,2.571478449980079e-05,1537.0,5.462385150936822e-10
2000-02-16,2.801150555787676e-05,5.946180956589587e-10,1.0763102563320252e-05,1.724840299455651e-05,-6.485300431236258e-06,2.438479230296946e-05,1540.0,7.846444436189607e-10
2000-02-17,3.336329939423141e-05,1.1231732917876109e-09,2.3559266867761507e-05,9.804032526469903e-06,1.3755234341291604e-05,3.35137776412569e-05,1539.0,1.113109746469122e-09
