date,RV,RQ,RS_plus,RS_minus,delta_J,BV,TPQ,MedRQ,nobs
1997-05-15,3.7209668e-05,6.642060000000003e-13,2.36516128e-05,1.3558056e-05,1.00935568e-05,3.0296716e-05,3.5692380000000013e-13,2.353976e-13,78
1997-05-16,5.5875271e-05,1.6091410000000001e-12,1.63682121e-05,3.9507059e-05,-2.31388469e-05,5.914337e-05,2.312568e-12,1.612403e-12,78
1997-05-19,5.5068430000000005e-05,1.9431850000000007e-12,2.26191221e-05,3.2449308e-05,-9.8301859e-06,5.4106964e-05,1.2000750000000002e-12,5.5276e-13,78
1997-05-20,0.000196994215,1.6418370000000002e-11,7.576070230000001e-05,0.000121233513,-4.5472810700000005e-05,0.000176618624,1.2018490000000003e-11,1.055515e-11,78
1997-05-21,6.9238269e-05,1.826263e-12,4.1246814700000006e-05,2.7991454e-05,1.3255360700000002e-05,7.1951719e-05,1.8833240000000004e-12,7.336229000000001e-13,78
1997-05-22,0.000105954499,1.0605510000000002e-11,7.26972618e-05,3.3257237000000005e-05,3.94400248e-05,7.572870000000001e-05,2.1138820000000002e-12,8.409904e-13,78
1997-05-23,6.4330034e-05,2.3947910000000003e-12,4.9243932400000005e-05,1.5086101e-05,3.4157831400000005e-05,5.8741194e-05,8.064551999999999e-13,3.980403e-13,78
1997-05-27,7.6023403e-05,2.6594610000000002e-12,3.0568540100000005e-05,4.5454863e-05,-1.48863229e-05,9.0945051e-05,8.213605e-12,2.133831e-12,78
1997-05-28,4.2847472e-05,1.049488e-12,1.93219236e-05,2.3525549e-05,-4.203625400000002e-06,3.3735311000000006e-05,5.105228e-13,3.504034e-13,78
1997-05-29,0.000154441637,1.2587250000000004e-11,6.452998490000001e-05,8.9911653e-05,-2.53816681e-05,0.000165166707,2.330316e-11,1.627564e-11,78
1997-05-30,9.032897e-05,2.4601650000000004e-12,6.15084589e-05,2.8820511e-05,3.2687947899999996e-05,0.000106037853,4.717966000000001e-12,2.0844280000000003e-12,78
1997-06-02,8.877443900000001e-05,3.136183e-12,4.26335759e-05,4.6140863e-05,-3.507287100000001e-06,9.7610827e-05,7.18765e-12,2.4460160000000002e-12,78
1997-06-03,9.1566159e-05,3.2089870000000007e-12,3.2984909e-05,5.858125e-05,-2.5596340999999996e-05,7.6251003e-05,2.1676670000000005e-12,1.534369e-12,78
1997-06-04,4.790147000000001e-05,1.0362640000000002e-12,1.7139650100000003e-05,3.076182e-05,-1.36221699e-05,5.3976963e-05,1.365726e-12,6.501863000000002e-13,78
1997-06-05,7.220962e-05,2.5458630000000003e-12,4.54412578e-05,2.6768362e-05,1.86728958e-05,6.6830086e-05,2.223487e-12,7.422475000000002e-13,78
1997-06-06,4.327218e-05,6.714310000000002e-13,3.1485169600000006e-05,1.1787010000000002e-05,1.96981596e-05,4.890053e-05,8.604823000000002e-13,4.179827000000001e-13,78
1997-06-09,8.8510051e-05,2.738549e-12,5.4930067900000005e-05,3.3579984e-05,2.13500839e-05,7.2194304e-05,1.5267740000000005e-12,7.372121e-13,78
1997-06-10,6.7523709e-05,1.844507e-12,2.89070206e-05,3.8616688e-05,-9.7096674e-06,5.871408099999999e-05,1.0910170000000002e-12,9.247928e-13,78
1997-06-11,8.466701700000001e-05,3.2379190000000002e-12,5.48245977e-05,2.9842419e-05,2.4982178700000004e-05,7.408634300000001e-05,2.3490480000000004e-12,9.71108e-13,78
1997-06-12,0.0001091672919999,9.919526e-12,8.87408624e-05,2.0426429e-05,6.83144334e-05,0.000101622386,6.2423679999999994e-12,4.021206e-12,78
1997-06-13,0.000137044006,7.181797e-12,6.21148894e-05,7.4929116e-05,-1.28142266e-05,0.0001632485409999,1.894988e-11,6.434573000000002e-12,78
1997-06-16,0.000107055402,6.907537000000001e-12,2.71472544e-05,7.9908148e-05,-5.27608936e-05,0.000104663543,3.850322e-12,2.0313020000000004e-12,78
1997-06-17,0.000194360139,1.63914e-11,0.0001091725637,8.5187575e-05,2.398498869999999e-05,0.000217004716,3.435265e-11,1.4027510000000004e-11,78
1997-06-18,0.000174883055,1.1160960000000002e-11,8.34174472e-05,9.1465607e-05,-8.04815980000001e-06,0.000156668984,6.966009e-12,4.316790000000001e-12,78
1997-06-19,6.541515300000001e-05,1.8592470000000005e-12,4.339502740000001e-05,2.2020126e-05,2.1374901400000003e-05,6.0402861e-05,1.294635e-12,7.850219000000001e-13,78
1997-06-20,8.0666447e-05,2.6109720000000005e-12,3.83058413e-05,4.2360606000000005e-05,-4.0547647000000025e-06,5.537760000000001e-05,9.276754000000001e-13,1.393926e-12,78
1997-06-23,8.897970400000001e-05,3.106952000000001e-12,4.08656471e-05,4.8114056e-05,-7.248408899999998e-06,8.4125632e-05,1.9865130000000003e-12,1.0327350000000002e-12,78
1997-06-24,4.6563181e-05,1.1727390000000001e-12,3.18318693e-05,1.4731311e-05,1.71005583e-05,4.4010314e-05,4.973812e-13,7.479319000000001e-13,78
1997-06-25,5.5855177e-05,1.93557e-12,1.7239528800000003e-05,3.8615648e-05,-2.13761192e-05,5.0146273e-05,9.181501000000001e-13,5.409214000000001e-13,78
1997-06-26,4.5908586000000005e-05,8.795713e-13,2.0883763e-05,2.5024823000000004e-05,-4.141060000000002e-06,3.9580035000000006e-05,4.949037000000002e-13,3.182064e-13,78
1997-06-27,0.000139126813,2.5208090000000005e-11,0.0001082031283,3.0923684e-05,7.72794443e-05,8.5321412e-05,4.279037e-12,2.1879390000000003e-12,78
1997-06-30,0.000101720795,5.287638e-12,3.77242835e-05,6.3996512e-05,-2.6272228500000007e-05,8.5091754e-05,2.882213000000001e-12,7.613894000000001e-13,78
1997-07-01,6.4097898e-05,1.6173170000000001e-12,3.06729023e-05,3.3424996e-05,-2.7520937000000024e-06,6.2447843e-05,1.1027180000000002e-12,1.085955e-12,78
1997-07-02,3.5870848e-05,9.361265000000002e-13,2.66028018e-05,9.268046e-06,1.7334755799999995e-05,2.7967994000000004e-05,3.142236000000001e-13,9.687655000000005e-14,78
1997-07-03,9.2632049e-05,3.478572e-12,5.6896128e-05,3.5735921e-05,2.1160207000000004e-05,8.1214265e-05,2.065132e-12,6.813861000000003e-13,78
1997-07-07,6.0730082e-05,1.4429990000000002e-12,3.4639291e-05,2.6090791000000003e-05,8.548499999999998e-06,6.1959614e-05,1.4224190000000001e-12,8.082705000000001e-13,78
1997-07-08,4.700288e-05,6.211591e-13,1.84783969e-05,2.8524484e-05,-1.00460871e-05,4.7021329e-05,5.453002000000001e-13,4.064570000000001e-13,78
1997-07-09,0.000103873205,3.3554100000000005e-12,6.99503648e-05,3.392284e-05,3.60275248e-05,9.2188218e-05,2.391531e-12,1.377307e-12,78
1997-07-10,5.281467600000001e-05,1.0040860000000001e-12,1.99226781e-05,3.2891998000000004e-05,-1.29693199e-05,5.5473566e-05,1.2350980000000001e-12,7.744640000000001e-13,78
1997-07-11,8.3931874e-05,2.190186e-12,3.81691633e-05,4.576271e-05,-7.593546700000004e-06,9.753051e-05,2.926936e-12,1.8126710000000002e-12,78
1997-07-14,6.866305600000001e-05,1.5825440000000005e-12,3.63208088e-05,3.2342247000000005e-05,3.978561799999997e-06,7.5422362e-05,2.3642230000000003e-12,1.1655600000000001e-12,78
1997-07-15,4.2337469e-05,6.370094000000001e-13,1.94792941e-05,2.2858175e-05,-3.378880900000001e-06,3.6469726000000005e-05,3.910843000000001e-13,4.273042000000001e-13,78
1997-07-16,7.3837159e-05,2.2017460000000005e-12,4.94040475e-05,2.4433111e-05,2.49709365e-05,8.2320038e-05,3.721181e-12,1.6818340000000002e-12,78
1997-07-17,4.2324581e-05,5.759494000000001e-13,2.24257683e-05,1.9898813e-05,2.5269553e-06,4.3055838000000006e-05,7.523674999999999e-13,3.683990000000001e-13,78
1997-07-18,5.2860816e-05,1.2094640000000005e-12,2.2297114900000003e-05,3.0563701e-05,-8.266586099999998e-06,4.9527505e-05,7.773942000000001e-13,3.630974e-13,78
1997-07-21,4.0363623e-05,4.415296000000001e-13,2.12965086e-05,1.9067115000000004e-05,2.2293935999999986e-06,4.3669035e-05,7.188394000000002e-13,2.961050000000001e-13,78
1997-07-22,4.5997974000000005e-05,1.1179250000000002e-12,3.40480612e-05,1.1949912e-05,2.20981492e-05,4.1968316e-05,7.173689000000002e-13,3.178582e-13,78
1997-07-23,5.349996e-05,1.097736e-12,3.59045131e-05,1.7595447e-05,1.8309066100000003e-05,4.774407e-05,6.552498000000001e-13,2.174045e-13,78
1997-07-24,2.5219268e-05,3.513691000000001e-13,1.05190174e-05,1.4700251e-05,-4.181233600000001e-06,2.3189447e-05,2.311416000000001e-13,2.0768260000000002e-13,78
1997-07-25,5.9559035000000006e-05,1.917895e-12,3.42290369e-05,2.5329998e-05,8.8990389e-06,5.601227e-05,1.935584e-12,8.194279000000002e-13,78
1997-07-28,5.7176037e-05,2.118593e-12,3.50159793e-05,2.2160058e-05,1.28559213e-05,4.3284156e-05,6.829998000000001e-13,3.623456e-13,78
1997-07-29,4.6576643e-05,8.376996000000002e-13,2.61761936e-05,2.0400449000000003e-05,5.775744599999996e-06,4.651175e-05,9.715851000000001e-13,3.869538e-13,78
1997-07-30,2.3592772e-05,2.0525180000000001e-13,1.07917398e-05,1.2801032000000002e-05,-2.0092922000000013e-06,2.5623281e-05,2.625508000000001e-13,8.032613000000001e-14,78
1997-07-31,0.000114877263,9.013444000000002e-12,2.2042963e-05,9.28343e-05,-7.0791337e-05,0.000102787511,8.658602000000001e-12,4.5331180000000004e-12,78
1997-08-01,9.0739e-05,4.319791000000001e-12,5.2338e-05,3.8401e-05,1.3936999999999994e-05,9.4272745e-05,5.879709000000001e-12,2.2531080000000003e-12,78
1997-08-04,0.000205488838,2.4826140000000004e-11,8.233101940000001e-05,0.000123157819,-4.08267996e-05,0.000166604144,1.6045600000000002e-11,8.565360000000001e-12,78
1997-08-05,0.000189263399,1.7841190000000002e-11,8.65402663e-05,0.000102723133,-1.61828667e-05,0.000184548799,2.754955e-11,9.811378000000002e-12,78
1997-08-06,0.000129094883,5.227329000000001e-12,6.021634e-05,6.887854300000001e-05,-8.662203000000001e-06,0.000118213635,4.066677000000001e-12,3.243410000000001e-12,78
1997-08-07,0.000154273257,1.1862170000000002e-11,6.091014190000001e-05,9.3363115e-05,-3.2452973099999993e-05,0.000167113706,1.2840200000000002e-11,2.9842920000000008e-12,78
1997-08-08,0.000118771063,5.933061e-12,7.202754660000001e-05,4.6743516e-05,2.52840306e-05,0.000117685187,4.959599000000001e-12,1.626745e-12,78
1997-08-11,7.9987778e-05,5.141498000000001e-12,5.4660679400000006e-05,2.5327098999999997e-05,2.9333580400000005e-05,8.3936556e-05,3.591295000000001e-12,1.1976970000000001e-12,78
1997-08-12,0.000109050671,4.660586000000001e-12,4.4961611600000006e-05,6.408906e-05,-1.9127448399999997e-05,0.00010656318,5.131291000000001e-12,2.7039680000000007e-12,78
1997-08-13,6.2478829e-05,1.108519e-12,3.8620826000000006e-05,2.3858003000000003e-05,1.4762823000000003e-05,6.6176762e-05,1.50742e-12,6.380422e-13,78
1997-08-14,0.000161020728,1.613495e-11,5.50324496e-05,0.000105988278,-5.0955828399999994e-05,0.000116607914,4.3934e-12,6.154388e-12,78
1997-08-15,0.000146617255,1.1990160000000002e-11,6.0747878e-05,8.586937700000001e-05,-2.5121499000000004e-05,0.000137278262,9.618269e-12,3.828642000000001e-12,78
1997-08-18,4.955821e-05,8.928922e-13,2.64086597e-05,2.3149551e-05,3.2591086999999992e-06,4.7198435e-05,6.664892000000002e-13,2.467861e-13,78
1997-08-19,5.3841055000000006e-05,1.3283530000000002e-12,2.41491241e-05,2.9691931e-05,-5.5428069e-06,5.699585900000001e-05,1.7306890000000002e-12,6.02033e-13,78
1997-08-20,9.2910699e-05,2.837664e-12,5.4385633e-05,3.8525066e-05,1.5860566999999998e-05,9.0627599e-05,3.2104850000000007e-12,1.5185900000000005e-12,78
1997-08-21,5.0202504e-05,1.428604e-12,2.96610396e-05,2.0541464e-05,9.1195756e-06,3.8920157e-05,6.46974e-13,3.511974e-13,78
1997-08-22,7.215516e-05,2.516987e-12,3.31339512e-05,3.9021209e-05,-5.8872578000000014e-06,7.045098300000001e-05,1.6350850000000002e-12,1.1159830000000002e-12,78
1997-08-25,0.000268878795,5.746329e-11,8.24638756e-05,0.000186414919,-0.0001039510433999,0.000265160142,3.041834e-11,1.0066669999999999e-11,78
1997-08-26,9.2306789e-05,2.601493e-12,4.52546629e-05,4.7052127e-05,-1.7974641000000014e-06,9.512266e-05,3.1547160000000002e-12,1.4026300000000005e-12,78
1997-08-27,0.000134966392,1.613469e-11,0.0001061582283,2.8808164000000005e-05,7.735006429999999e-05,0.000135396896,1.078187e-11,2.3447810000000002e-12,78
