date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2000-01-03,0.0001408148436564,1.9894052044019524e-08,4.468140865297423e-05,9.613343500342576e-05,-5.145202635045153e-05,0.0001410462762501,1554.0,1.9828820193976372e-08
2000-01-04,0.0002241311515142,3.003880451326181e-08,4.406796983230001e-05,0.0001800631816819,-0.00013599521184959998,0.0001733170635375,1564.0,5.0234773079081276e-08
2000-01-05,0.0003142822148695,9.165464979839014e-08,0.0001834337191935,0.000130848495676,5.2585223517499986e-05,0.0003027451895545,1552.0,9.877331058327857e-08
2000-01-06,0.0001308097278411,1.649791133878661e-08,7.511513083763104e-05,5.5694597003468965e-05,1.9420533834162084e-05,0.0001284441954266,1561.0,1.7111184897862656e-08
2000-01-07,9.362177104368208e-05,6.1946228060898045e-09,7.05656943575196e-05,2.3056076686162487e-05,4.750961767135711e-05,7.870592611798558e-05,1540.0,8.76503601335563e-09
2000-01-10,0.0001202127284099,1.842790449996342e-08,8.584462593965441e-05,3.436810247024559e-05,5.147652346940882e-05,0.0001357494180465,1573.0,1.445110007175238e-08
2000-01-11,6.80992035840115e-05,4.631349296102244e-09,2.1365603306546196e-05,4.673360027746531e-05,-2.5367996970919113e-05,6.805401748686292e-05,1523.0,4.6375015287766455e-09
2000-01-12,0.000123002349008,1.282620723625281e-08,5.6327528764141255e-05,6.667482024385875e-05,-1.0347291479717493e-05,0.0001132528464819,1549.0,1.512957786148584e-08
2000-01-13,0.000101327682707,3.0107053105107235e-09,7.724471115054318e-05,2.408297155645682e-05,5.3161739594086354e-05,5.4869894391284585e-05,1539.0,1.0267299282770466e-08
2000-01-14,0.0001393004308907,8.487882276071331e-09,0.00010778165048680794,3.151878040389206e-05,7.626287008291587e-05,9.212970354924264e-05,1572.0,1.9404610046334683e-08
2000-01-18,9.273167237390965e-05,6.614062284737392e-09,2.7685038584986582e-05,6.504663378892306e-05,-3.736159520393648e-05,8.132688537462499e-05,1544.0,8.599163061262117e-09
2000-01-19,4.913393635533539e-05,1.3461421239133387e-09,2.2558872339007358e-05,2.657506401632803e-05,-4.016191677320673e-06,3.668980953770868e-05,1539.0,2.4141437017701488e-09
2000-01-20,0.0001296600290546,1.0996211572028096e-08,6.364923599807117e-05,6.601079305652884e-05,-2.361557058457671e-06,0.00010486282264,1536.0,1.681172313443972e-08
2000-01-21,5.032588895450988e-05,2.7840621297586185e-09,1.9245217613937452e-05,3.108067134057243e-05,-1.1835453726634976e-05,5.276421258541265e-05,1538.0,2.53269509906166e-09
2000-01-24,0.0001895343329395,3.155387120916461e-08,5.8106079186199985e-05,0.0001314282537533,-7.332217456710002e-05,0.0001776340936002,1546.0,3.5923263362821234e-08
2000-01-25,0.0001756937247282,2.561610014582981e-08,0.00010978377164951569,6.59099530786843e-05,4.387381857083139e-05,0.0001600503050476,1550.0,3.0868284908868516e-08
2000-01-26,6.993212585909183e-05,4.3925235347614905e-09,3.119548809886255e-05,3.873663776022928e-05,-7.541149661366729e-06,6.627611586960638e-05,1535.0,4.890502227171861e-09
2000-01-27,0.0001876545551182,2.2743167313209872e-08,8.295791863200002e-05,0.0001046966364862,-2.173871785419998e-05,0.0001508083794529,1538.0,3.521423205660957e-08
2000-01-28,0.0002781081691165,6.931891751554036e-08,0.00010241427854029998,0.0001756938905762,-7.327961203590003e-05,0.0002632848600196,1540.0,7.734415372933176e-08
2000-01-31,0.0001891490677984,3.6976944427716145e-08,0.00013358869227430493,5.556037552409508e-05,7.802831675020985e-05,0.0001922939011714,1541.0,3.577736984900372e-08
2000-02-01,0.0001166866832195,1.089467075779395e-08,6.925929186057981e-05,4.74273913589202e-05,2.183190050165961e-05,0.0001043775395274,1538.0,1.3615782040767945e-08
2000-02-02,9.421928374875531e-05,8.908233767086157e-09,3.687214819975486e-05,5.7347135549000455e-05,-2.0474987349245597e-05,9.438344011046724e-05,1539.0,8.877273430128467e-09
2000-02-03,0.0001480944937516,2.2081576754862596e-08,9.381495980721937e-05,5.4279533944380626e-05,3.953542586283875e-05,0.0001485987104751,1541.0,2.193197907954269e-08
2000-02-04,6.754763347841153e-05,3.0281147766471264e-09,2.8341663222392213e-05,3.9205970256019315e-05,-1.0864307033627102e-05,5.502830886595668e-05,1541.0,4.5626827885338216e-09
2000-02-07,6.023773566258893e-05,3.706304106655053e-09,2.7834497875061746e-05,3.2403237787527185e-05,-4.568739912465439e-06,6.087942268661106e-05,1549.0,3.628584797755938e-09
2000-02-08,9.10283830050293e-05,4.1279595942839414e-09,7.220008273599508e-05,1.8828300269034216e-05,5.337178246696087e-05,6.424919917231608e-05,1558.0,8.286166512510307e-09
2000-02-09,9.31136424374928e-05,9.834763707659503e-09,2.3238389954789688e-05,6.987525248270311e-05,-4.663686252791342e-05,9.917037716808131e-05,1541.0,8.67015040797726e-09
2000-02-10,0.0001168827370916,1.3133893127334027e-08,6.0893239424170554e-05,5.598949766742945e-05,4.903741756741103e-06,0.0001146031985912,1537.0,1.3661574230024087e-08
2000-02-11,0.000102716137567,1.1251854775863484e-08,2.2769978149249557e-05,7.994615941775044e-05,-5.7176181268500884e-05,0.0001060747603149,1359.0,1.0550604916682868e-08
2000-02-14,9.384214096642244e-05,8.61725412614097e-09,5.364681039895592e-05,4.019533056746652e-05,1.3451479831489406e-05,9.282916635487454e-05,1541.0,8.806347421161902e-09
2000-02-15,0.0001312027795208,1.8136572727567395e-08,7.835741507543025e-05,5.284536444536976e-05,2.5512050630060483e-05,0.0001346720933511,1540.0,1.7214169353983657e-08
2000-02-16,8.871881393373084e-05,5.8750224284004136e-09,3.18643738074179e-05,5.685444012631294e-05,-2.499006631889504e-05,7.664869489039206e-05,1545.0,7.871027945807952e-09
2000-02-17,0.0001829373395641,2.1792224176007143e-08,9.32746806821682e-05,8.96626588819318e-05,3.612021800236399e-06,0.0001476218959911,1542.0,3.3466070206790825e-08
2000-02-18,0.0001510083467147,2.562476451577957e-08,3.6996252575e-05,0.0001140120941397,-7.70158415647e-05,0.000160077370405,1541.0,2.2803520777507046e-08
2000-02-22,0.0001938551137949,4.325380677913335e-08,0.00010610422560919548,8.775088818570453e-05,1.8353337423490955e-05,0.0002079754956218,1530.0,3.757980514443363e-08
2000-02-23,0.0001214628728356,1.0932501855936692e-08,6.291373959559748e-05,5.8549133240002525e-05,4.364606355594953e-06,0.0001045586048871,1537.0,1.4753229477477138e-08
2000-02-24,0.0002911040212292,7.779353726345851e-08,0.0001405656124533,0.0001505384087759,-9.972796322600002e-06,0.0002789149283625,1532.0,8.474155117581053e-08
2000-02-25,0.0002319482876893,4.6512998515066336e-08,8.669140949270002e-05,0.0001452568781966,-5.856546870389997e-05,0.0002156687240076,1537.0,5.380000816199828e-08
2000-02-28,0.0002257550830598,4.901132332376234e-08,0.00012189954704059999,0.0001038555360192,1.8044011021399985e-05,0.0002213850115156,1555.0,5.0965357527337194e-08
2000-02-29,0.0001358959773317,1.307426868473572e-08,9.229648221833618e-05,4.359949511336382e-05,4.8696987104972355e-05,0.0001143427683972,1555.0,1.846771665493792e-08
2000-03-01,0.0001024473622056,1.132903234997465e-08,6.111957402713108e-05,4.132778817846892e-05,1.979178584866216e-05,0.0001064379272157,1544.0,1.04954620228854e-08
2000-03-02,9.88488041195575e-05,1.0961860071106197e-08,5.130333419120047e-05,4.754546992835704e-05,3.7578642628434324e-06,0.0001046989019575,1541.0,9.77108607586665e-09
2000-03-03,9.148079437437722e-05,8.136692059102074e-09,6.486609067565616e-05,2.661470369872105e-05,3.825138697693512e-05,9.020361444588612e-05,1554.0,8.368735739367086e-09
2000-03-06,6.837669163588859e-05,5.747458399035313e-09,2.0447182958206815e-05,4.792950867768177e-05,-2.7482325719474957e-05,7.581199376771009e-05,1540.0,4.675371959069396e-09
2000-03-07,0.0002715135248307,8.725232135955475e-08,8.737594582939999e-05,0.0001841375790013,-9.67616331719e-05,0.00029538503916,1506.0,7.371959416599114e-08
2000-03-08,0.000132878629083,2.1451242525044432e-08,7.893147697576284e-05,5.3947152107237176e-05,2.4984324868525652e-05,0.0001464624270079,1211.0,1.7656730066977493e-08
2000-03-09,0.0001096243990236,1.0674005639114948e-08,7.880945911265566e-05,3.0814939910944336e-05,4.799451920171133e-05,0.0001033150794372,1537.0,1.2017508861285474e-08
2000-03-10,0.0001192460426776,1.3460788691464233e-08,4.5865703706376694e-05,7.33803389712233e-05,-2.7514635264846608e-05,0.0001160206390754,1473.0,1.4219618694267999e-08
2000-03-13,0.0004919763074588,1.0975226084314671e-07,0.00012409920929490006,0.0003678770981639,-0.00024377788886899992,0.000331288787681,1534.0,2.420406871007958e-07
2000-03-14,0.0001498810041798,1.2229257670985567e-08,4.947545934529999e-05,0.0001004055448345,-5.0930085489200004e-05,0.0001105859741151,1522.0,2.2464315413945223e-08
2000-03-15,0.0002310894576846,4.143855925122758e-08,0.00014862239628489504,8.246706139970499e-05,6.615533488519003e-05,0.0002035646316314,1517.0,5.340233745296254e-08
2000-03-16,0.0002630982441396,4.445531912801535e-08,0.0002122139157023579,5.088432843724208e-05,0.00016132958726511584,0.0002108443006771,1488.0,6.922068606934056e-08
2000-03-20,8.786993285204132e-05,7.756270991970611e-09,3.841545349717615e-05,4.945447935486517e-05,-1.1039025857689024e-05,8.806969394729728e-05,1536.0,7.721125099422251e-09
2000-03-21,0.0001553957796447,2.284080235298486e-08,0.00011629564668385266,3.910013296084733e-05,7.719551372300533e-05,0.0001511317384039,1541.0,2.4147848331384157e-08
2000-03-22,7.875757019993018e-05,5.069051955188747e-09,4.033190662121897e-05,3.842566357871121e-05,1.9062430425077553e-06,7.119727491406358e-05,1537.0,6.20275486379693e-09
2000-03-23,0.0001456016905259,1.490487477355221e-08,7.686960908888508e-05,6.873208143701492e-05,8.137527651870161e-06,0.0001220855223749,1532.0,2.1199852283999957e-08
2000-03-24,0.0001419207192632,1.4425888788094213e-08,7.837180307214528e-05,6.354891619105471e-05,1.4822886881090568e-05,0.0001201078215109,1539.0,2.0141490556184027e-08
2000-03-26,7.958624708161685e-05,6.386975657847761e-09,4.132294396694886e-05,3.826330311466799e-05,3.0596408522808684e-06,7.991855640492864e-05,1536.0,6.333970724536167e-09
