asset,model,regime,n,QLIKE,DM p (vs HAR)
SPX,HAR,Pre-publication,3075,0.14946815569268182,
SPX,HAR,Post-pub calm,1494,0.2615224640619763,
SPX,HAR,COVID onset,0,,
SPX,HAR,Post-COVID / 2022+,0,,
SPX,HARJ,Pre-publication,3075,0.14512311129657895,0.001137479863193791
SPX,HARJ,Post-pub calm,1494,0.25921515647992327,0.5333193483735459
SPX,HARJ,COVID onset,0,,
SPX,HARJ,Post-COVID / 2022+,0,,
SPX,SHAR,Pre-publication,3075,0.129636206713766,0.0
SPX,SHAR,Post-pub calm,0,,
SPX,SHAR,COVID onset,0,,
SPX,SHAR,Post-COVID / 2022+,0,,
SPX,HARQ,Pre-publication,3075,0.13139885445338004,2.3669954885008337e-13
SPX,HARQ,Post-pub calm,1494,0.26890640830414353,0.05689850875457636
SPX,HARQ,COVID onset,0,,
SPX,HARQ,Post-COVID / 2022+,0,,
SPX,HARQ_F,Pre-publication,3075,0.12840196517692948,6.888178916142351e-11
SPX,HARQ_F,Post-pub calm,1494,0.3035315886160827,0.0678642796901554
SPX,HARQ_F,COVID onset,0,,
SPX,HARQ_F,Post-COVID / 2022+,0,,
SPX,CHAR,Pre-publication,3075,0.147098840663482,9.023116320161506e-05
SPX,CHAR,Post-pub calm,1494,0.26817018815066684,0.010403983474562617
SPX,CHAR,COVID onset,0,,
SPX,CHAR,Post-COVID / 2022+,0,,
