asset,model,regime,n,QLIKE,DM p (vs HAR),DM p (vs HARQ)
SPX,HARQSigned,Pre-publication,2490,0.1997538038176845,0.4438019634244754,6.572653532543882e-11
SPX,HARQSigned,Post-pub calm,1506,0.2223569570540862,9.463541061904834e-12,0.14183524427990268
SPX,HARQSigned,COVID onset,13,,,
SPX,HARQSigned,Post-COVID / 2022+,0,,,
NDX,HARQSigned,Pre-publication,2487,0.14124395649877736,2.1896075841354445e-07,0.03108035560083877
NDX,HARQSigned,Post-pub calm,1505,0.19840262868855046,0.003885518523036424,0.06991419873697358
NDX,HARQSigned,COVID onset,13,,,
NDX,HARQSigned,Post-COVID / 2022+,0,,,
RUT,HARQSigned,Pre-publication,2486,0.2090894986968133,0.17171956934105426,0.870409607423859
RUT,HARQSigned,Post-pub calm,1504,0.1816804359163088,0.41888057855909855,0.2375138000858379
RUT,HARQSigned,COVID onset,13,,,
RUT,HARQSigned,Post-COVID / 2022+,0,,,
DJIA,HARQSigned,Pre-publication,2489,0.2200964556876583,0.0008274271121504473,7.110223521067383e-11
DJIA,HARQSigned,Post-pub calm,1504,0.2653102314606156,7.114708822086868e-11,0.14242927668334948
DJIA,HARQSigned,COVID onset,13,,,
DJIA,HARQSigned,Post-COVID / 2022+,0,,,
